"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"echo-presentation","46","1020663","0.0-46.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-70,-65,-60,-55,-50","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-60.wav","20","10","half","matched","-60","-60","3185"
"echo-presentation","47","1025157","0.0-47.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-70,-65,-60,-55,-50","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-50.wav","20","10","half","matched","-50","-65","2369"
"echo-presentation","48","1032389","0.0-48.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-70,-65,-60,-55,-50","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-70.wav","20","10","half","matched","-70","-65","3724"
"echo-presentation","49","1035866","0.0-49.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-70,-65,-60,-55,-50","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-60.wav","20","10","half","matched","-60","-60","1530"
"echo-presentation","50","1040094","0.0-50.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-70,-65,-60,-55,-50","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-55.wav","20","10","half","matched","-55","-60","2056"
"echo-presentation","51","1045555","0.0-51.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-70,-65,-60,-55,-50","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-70.wav","20","10","half","matched","-70","-55","2279"
"echo-presentation","52","1050064","0.0-52.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-70,-65,-60,-55,-50","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-50.wav","20","10","half","matched","-50","-60","3000"
"echo-presentation","53","1056645","0.0-53.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-70,-65,-60,-55,-50","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-55.wav","20","10","half","matched","-55","-55","4170"
"block-bookend","54","1062146","0.0-54.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","","","","","","","","",""
"block-bookend","55","1063556","0.0-55.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","","","","","","","","",""
